Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Spaced_Repetition,Active_Recall,Interleaving,Elaborative_Int,Feynman,Mind_Mapping
0.92,0.85,0.25,0.58,0.22,1,1,1,1,1,0
0.32,0.78,0.42,0.62,0.32,1,0,1,1,0,0
0.75,0.38,0.68,0.52,0.28,0,1,0,1,1,1
0.28,0.42,0.85,0.78,0.42,0,1,0,0,1,0
0.65,0.65,0.52,0.75,0.58,0,0,1,1,1,1
0.38,0.82,0.28,0.48,0.55,1,1,1,1,0,0
0.85,0.35,0.75,0.55,0.35,0,1,0,1,1,1
0.42,0.75,0.45,0.62,0.42,1,1,0,0,0,0
0.58,0.42,0.62,0.88,0.32,0,0,1,1,0,1
0.82,0.82,0.35,0.52,0.32,1,1,1,1,1,0
0.22,0.85,0.38,0.58,0.42,1,1,1,0,0,0
0.90,0.28,0.85,0.42,0.18,0,1,0,1,1,1
0.12,0.48,0.92,0.72,0.38,0,1,0,0,1,0
0.78,0.52,0.48,0.82,0.52,0,0,1,1,1,1
0.28,0.92,0.12,0.38,0.72,1,0,1,1,0,0
0.85,0.25,0.82,0.45,0.15,0,1,0,1,1,1
0.48,0.72,0.32,0.68,0.48,1,1,0,0,0,0
0.52,0.48,0.58,0.85,0.38,0,0,1,1,0,1
0.88,0.85,0.22,0.55,0.25,1,1,1,1,1,0
0.35,0.75,0.42,0.62,0.35,1,0,1,1,0,0
0.72,0.32,0.68,0.58,0.22,0,1,0,1,1,1
0.25,0.45,0.88,0.78,0.48,0,1,0,0,1,0
0.62,0.68,0.52,0.72,0.55,0,0,1,1,1,1
0.45,0.88,0.28,0.42,0.52,1,1,1,1,0,0
0.78,0.38,0.75,0.55,0.38,0,1,0,1,1,1
0.52,0.72,0.48,0.65,0.45,1,1,0,0,0,0
0.58,0.45,0.65,0.82,0.35,0,0,1,1,0,1
0.85,0.78,0.35,0.58,0.32,1,1,1,1,1,0
0.28,0.82,0.32,0.52,0.42,1,1,1,0,0,0
0.92,0.25,0.85,0.48,0.15,0,1,0,1,1,1
0.18,0.48,0.95,0.75,0.32,0,1,0,0,1,0
0.75,0.52,0.42,0.88,0.58,0,0,1,1,1,1
0.32,0.95,0.18,0.32,0.78,1,0,1,1,0,0
0.82,0.28,0.82,0.42,0.18,0,1,0,1,1,1
0.48,0.78,0.38,0.68,0.52,1,1,0,0,0,0
0.55,0.38,0.52,0.85,0.42,0,0,1,1,0,1
0.90,0.88,0.28,0.52,0.25,1,1,1,1,1,0
0.42,0.82,0.45,0.62,0.38,1,0,1,1,0,0
0.75,0.35,0.72,0.58,0.32,0,1,0,1,1,1
0.22,0.42,0.85,0.72,0.48,0,1,0,0,1,0
0.68,0.65,0.55,0.75,0.52,0,0,1,1,1,1
0.38,0.88,0.25,0.48,0.55,1,1,1,1,0,0
0.85,0.32,0.78,0.52,0.35,0,1,0,1,1,1
0.45,0.75,0.42,0.65,0.42,1,1,0,0,0,0
0.52,0.48,0.62,0.82,0.32,0,0,1,1,0,1
0.88,0.80,0.32,0.55,0.28,1,1,1,1,1,0
0.25,0.92,0.38,0.58,0.45,1,1,1,0,0,0
0.92,0.22,0.82,0.45,0.12,0,1,0,1,1,1
0.15,0.48,0.90,0.78,0.35,0,1,0,0,1,0
0.72,0.58,0.48,0.85,0.52,0,0,1,1,1,1
0.28,0.95,0.15,0.35,0.72,1,0,1,1,0,0
0.85,0.25,0.88,0.42,0.18,0,1,0,1,1,1
0.42,0.72,0.35,0.62,0.55,1,1,0,0,0,0
0.58,0.45,0.55,0.88,0.48,0,0,1,1,0,1
0.82,0.85,0.28,0.52,0.25,1,1,1,1,1,0
0.55,0.88,0.42,0.60,0.35,1,1,1,0,0,0
0.78,0.30,0.80,0.50,0.22,0,1,0,1,1,1
0.18,0.45,0.85,0.75,0.38,0,1,0,0,1,0
0.62,0.62,0.50,0.85,0.55,0,0,1,1,1,1
0.30,0.92,0.15,0.38,0.75,1,1,1,1,0,0
0.85,0.22,0.85,0.48,0.15,0,1,0,1,1,1
0.45,0.78,0.38,0.65,0.45,1,1,0,0,0,0
0.58,0.42,0.60,0.88,0.40,0,0,1,1,0,1
0.92,0.82,0.30,0.55,0.25,1,1,1,1,1,0
0.35,0.75,0.45,0.65,0.35,1,0,1,1,0,0
0.72,0.38,0.65,0.52,0.28,0,1,0,1,1,1
0.25,0.48,0.82,0.78,0.42,0,1,0,0,1,0
0.65,0.68,0.52,0.72,0.58,0,0,1,1,1,1
0.42,0.85,0.28,0.48,0.55,1,1,1,1,0,0
0.88,0.28,0.75,0.58,0.32,0,1,0,1,1,1
0.52,0.72,0.42,0.68,0.48,1,1,0,0,0,0
0.58,0.48,0.58,0.82,0.35,0,0,1,1,0,1
0.80,0.85,0.32,0.52,0.30,1,1,1,1,1,0
0.28,0.90,0.35,0.55,0.45,1,1,1,0,0,0
0.95,0.25,0.80,0.45,0.15,0,1,0,1,1,1
0.15,0.42,0.88,0.72,0.38,0,1,0,0,1,0
0.70,0.55,0.48,0.80,0.52,0,0,1,1,1,1
0.25,0.92,0.12,0.35,0.75,1,0,1,1,0,0
0.85,0.21,0.85,0.42,0.18,0,1,0,1,1,1
0.42,0.75,0.32,0.62,0.52,1,1,0,0,0,0
0.55,0.35,0.55,0.85,0.45,0,0,1,1,0,1
0.90,0.82,0.25,0.58,0.22,1,1,1,1,1,0
0.32,0.78,0.40,0.60,0.32,1,0,1,1,0,0
0.75,0.38,0.68,0.50,0.28,0,1,0,1,1,1
0.28,0.42,0.85,0.75,0.40,0,1,0,0,1,0
0.65,0.65,0.52,0.72,0.58,0,0,1,1,1,1
0.38,0.82,0.22,0.42,0.55,1,1,1,1,0,0
0.85,0.35,0.72,0.52,0.35,0,1,0,1,1,1
0.42,0.75,0.42,0.65,0.42,1,1,0,0,0,0
0.58,0.42,0.62,0.88,0.35,0,0,1,1,0,1
0.82,0.82,0.35,0.55,0.30,1,1,1,1,1,0
0.22,0.85,0.38,0.58,0.42,1,1,1,0,0,0
0.90,0.28,0.82,0.42,0.15,0,1,0,1,1,1
0.12,0.48,0.92,0.75,0.35,0,1,0,0,1,0
0.78,0.52,0.45,0.82,0.55,0,0,1,1,1,1
0.28,0.92,0.15,0.38,0.72,1,0,1,1,0,0
0.85,0.25,0.85,0.45,0.18,0,1,0,1,1,1
0.48,0.72,0.35,0.68,0.48,1,1,0,0,0,0
0.52,0.48,0.58,0.85,0.38,0,0,1,1,0,1
0.88,0.85,0.22,0.55,0.25,1,1,1,1,1,0
0.35,0.75,0.42,0.62,0.35,1,0,1,1,0,0
0.72,0.32,0.68,0.58,0.22,0,1,0,1,1,1
0.25,0.45,0.88,0.78,0.45,0,1,0,0,1,0
0.62,0.68,0.55,0.72,0.55,0,0,1,1,1,1
0.45,0.88,0.25,0.45,0.52,1,1,1,1,0,0
0.78,0.38,0.72,0.55,0.38,0,1,0,1,1,1
